text,label
Reverse is cheating. That is not mathematics.,ham
U're welcome... Caught u using broken english again...,ham
No problem baby. Is this is a good time to talk? I called and left a message.,ham
"Sorry, I'll call later",ham
Oh is it! Which brand?,ham
Sorry i cant take your call right now. It so happens that there r 2waxsto do wat you want. She can come and ill get her medical insurance. And she'll be able to deliver and have basic care. I'm currently shopping for the right medical insurance for her. So just give me til friday morning. Thats when i.ll see the major person that can guide me to the right insurance.,ham
At what time are you coming.,ham
Call him and say you not coming today ok and tell them not to fool me like this ok,ham
I emailed yifeng my part oredi.. Can Ì_ get it fr him..,ham
R u sure they'll understand that! Wine * good idea just had a slurp!,ham
Minimum walk is 3miles a day.,ham
Ok not a problem will get them a taxi. C ing  tomorrow and tuesday. On tuesday think we r all going to the cinema. ,ham
"Brainless Baby Doll..:-D;-), vehicle sariyag drive madoke barolla..",ham
I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...,ham
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam
Please attend the phone:),ham
You only hate me. You can call any but you didnt accept even a single call of mine. Or even you messaged,ham
No messages on her phone. I'm holding it now,ham
Can... I'm free...,ham
"Yo my trip got postponed, you still stocked up?",ham
"Sorry, I'll call later",ham
I am waiting for your call sir.,ham
Hey what are you doing. Y no reply pa..,ham
"Hey elaine, is today's meeting still on?",ham
Sorry i've not gone to that place. I.ll do so tomorrow. Really sorry.,ham
Most of the tiime when i don't let you hug me it's so i don't break into tears.,ham
Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow,ham
And now electricity just went out fml.,ham
"Looks like you found something to do other than smoke, great job!",ham
Also andros ice etc etc,ham
:) ,ham
"Good afternon, my love. How are today? I hope your good and maybe have some interviews. I wake and miss you babe. A passionate kiss from across the sea",ham
Yup. Wun believe wat? U really neva c e msg i sent shuhui?,ham
Hows that watch resizing,ham
Dear umma she called me now :-),ham
Just finished. Missing you plenty,ham
"complimentary 4 STAR Ibiza Holiday or å£10,000 cash needs your URGENT collection. 09066364349 NOW from Landline not to lose out! Box434SK38WP150PPM18+",spam
"Well, I meant as opposed to my drunken night of before",ham
K... Must book a not huh? so going for yoga basic on sunday?,ham
FREE MSG:We billed your mobile number by mistake from shortcode 83332.Please call 08081263000 to have charges refunded.This call will be free from a BT landline,spam
Ok can...,ham
"Oops - am at my mum's in somerset... Bit far! Back tomo, see you soon x",ham
So u workin overtime nigpun?,ham
Same as kallis dismissial in 2nd test:-).,ham
O. Guess they both got screwd,ham
Please CALL 08712402972 immediately as there is an urgent message waiting for you,spam
"I'm in a meeting, call me later at",ham
What r u cooking me for dinner?,ham
Ok thanx...,ham
