text,label
That depends. How would you like to be treated? :),ham
"Right on brah, see you later",ham
Waiting in e car 4 my mum lor. U leh? Reach home already?,ham
Your 2004 account for 07XXXXXXXXX shows 786 unredeemed points. To claim call 08719181259 Identifier code: XXXXX Expires 26.03.05,spam
Do you want a new video handset? 750 anytime any network mins? Half Price Line Rental? Camcorder? Reply or call 08000930705 for delivery tomorrow,spam
Went fast asleep dear.take care.,ham
No that just means you have a fat head,ham
Sounds like a plan! Cardiff is still here and still cold! I'm sitting on the radiator!,ham
Serious? What like proper tongued her,ham
She.s good. She was wondering if you wont say hi but she.s smiling now. So how are you coping with the long distance,ham
How i noe... She's in da car now... Later then c lar... I'm wearing shorts...,ham
You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,spam
Yeah whatever lol,ham
Today is ACCEPT DAY..U Accept me as? Brother Sister Lover Dear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy,ham
Ard 530 lor. I ok then message Ì_ lor.,ham
Ok. C u then.,ham
Eh ur laptop got no stock lei... He say mon muz come again to take a look c got a not...,ham
No need to ke qi... ÌÏ too bored izzit y suddenly thk of this...,ham
I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!,ham
FREE>Ringtone! Reply REAL or POLY eg REAL1 1. PushButton 2. DontCha 3. BabyGoodbye 4. GoldDigger 5. WeBeBurnin 1st tone FREE and 6 more when u join for å£3/wk,spam
"Do 1 thing! Change that sentence into: \Because i want 2 concentrate in my educational career im leaving here..\""""",ham
"Oh really? perform, write a paper, go to a movie AND be home by midnight, huh?",ham
Okay lor... Will they still let us go a not ah? Coz they will not know until later. We drop our cards into the box right?,ham
How? Izzit still raining?,ham
As if i wasn't having enough trouble sleeping.,ham
I havent add Ì_ yet right.. ,ham
Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,ham
Babe ? I lost you ... Will you try rebooting ?,ham
Yes. Nigh you cant aha.,ham
I thk Ì_ gotta go home by urself. Cos i'll b going out shopping 4 my frens present. ,ham
Nooooooo I'm gonna be bored to death all day. Cable and internet outage.,ham
Sos! Any amount i can get pls.,ham
"Playin space poker, u?",ham
How come guoyang go n tell her? Then u told her?,ham
You need to get up. Now.,ham
They r giving a second chance to rahul dengra.,ham
"Yeah, in fact he just asked if we needed anything like an hour ago. When and how much?",ham
WHEN THE FIRST STRIKE IS A RED ONE. THE BIRD + ANTELOPE BEGIN TOPLAY IN THE FIELDOF SELFINDEPENDENCE BELIEVE THIS + THE FLOWER OF CONTENTION WILL GROW.RANDOM!,ham
Y Ì_ wan to go there? C doctor?,ham
Does daddy have a bb now.,ham
"Free Msg: get Gnarls Barkleys \Crazy\"" ringtone TOTALLY FREE just reply GO to this message right now!""",spam
She's borderline but yeah whatever.,ham
I got a call from a landline number. . . I am asked to come to anna nagar . . . I will go in the afternoon,ham
"Until 545 lor... Ya, can go 4 dinner together...",ham
I will be gentle princess! We will make sweet gentle love...,ham
How u doin baby girl ?? hope u are okay every time I call ure phone is off! I miss u get in touch,ham
"Sorry, went to bed early, nightnight",ham
I like to think there's always the possibility of being in a pub later.,ham
HMM yeah if your not too grooved out! And im looking forward to my pound special :),ham
I got to video tape pple type in message lor. U so free wan 2 help me? Hee... Cos i noe u wan 2 watch infernal affairs so ask u along. Asking shuhui oso.,ham
Hi dude hw r u da realy mising u today,ham
Me hungry buy some food good lei... But mum n yun dun wan juz buy a little bit... ,ham
Refused a loan? Secured or Unsecured? Can't get credit? Call free now 0800 195 6669 or text back 'help' & we will!,spam
I probably won't eat at all today. I think I'm gonna pop. How was your weekend? Did u miss me?,ham
I knew it... U slept v late yest? Wake up so late...,ham
Haha... dont be angry with yourself... Take it as a practice for the real thing. =) ,ham
Where is that one day training:-),ham
So i could kiss and feel you next to me...,ham
Have a nice day my dear.,ham
I sent lanre fakeye's Eckankar details to the mail box,ham
Your dad is back in ph?,ham
"You have been specially selected to receive a \3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo""",spam
If you ask her or she say any please message.,ham
"If e timing can, then i go w u lor...",ham
Love you aathi..love u lot..,ham
I was just callin to say hi. Take care bruv!,ham
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386,spam
Did u turn on the heater? The heater was on and set to &lt;#&gt; degrees.,ham
Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.,ham
"That's the trouble with classes that go well - you're due a dodgey one ‰Û_ Expecting mine tomo! See you for recovery, same time, same place ",ham
Free video camera phones with Half Price line rental for 12 mths and 500 cross ntwk mins 100 txts. Call MobileUpd8 08001950382 or Call2OptOut/674&,spam
WOT U UP 2 J?,ham
"Night night, see you tomorrow",ham
Roger that. We‰Û÷re probably going to rem in about 20,ham
do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................,ham
I wish u were here. I feel so alone,ham
Great NEW Offer - DOUBLE Mins & DOUBLE Txt on best Orange tariffs AND get latest camera phones 4 FREE! Call MobileUpd8 free on 08000839402 NOW! or 2stoptxt T&Cs,spam
Reason is if the team budget is available at last they buy the unsold players for at base rate..,ham
CERI U REBEL! SWEET DREAMZ ME LITTLE BUDDY!! C YA 2MORO! WHO NEEDS BLOKES,ham
ringtoneking 84484,spam
Huh i cant thk of more oredi how many pages do we have?,ham
His frens go then he in lor. Not alone wif my mum n sis lor.,ham
Nationwide auto centre (or something like that) on Newport road. I liked them there,ham
"Hey, I missed you tm of last night as my phone was on the charge ... *smiles* ... I am meeting a friend shortly",ham
"Whatever, juliana. Do whatever you want.",ham
"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e",ham
Ringtone Club: Gr8 new polys direct to your mobile every week !,spam
"Hello. Sort of out in town already. That . So dont rush home, I am eating nachos. Will let you know eta.",ham
Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,ham
(Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,spam
I am on the way to ur home,ham
"Dizzamn, aight I'll ask my suitemates when I get back",ham
"Nimbomsons. Yep phone knows that one. Obviously, cos thats a real word",ham
I love to cuddle! I want to hold you in my strong arms right now...,ham
R u in this continent?,ham
We'll you pay over like  &lt;#&gt; yrs so its not too difficult,ham
Bored housewives! Chat n date now! 0871750.77.11! BT-national rate 10p/min only from landlines!,spam
We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,spam
K...k...when will you give treat?,ham
